epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1273,1.53853,3.89912,1.15608,0.50729,0.12948,0.10816,0.06642,1.54262,2.59302,1.1543,0.000132544,0.000132544,0.000132544
2,47.3831,1.48498,2.48166,1.14994,0.49403,0.18379,0.16453,0.09539,1.40654,1.87313,1.12146,0.000263246,0.000263246,0.000263246
3,62.9547,1.45677,2.06418,1.1545,0.53292,0.21214,0.20033,0.11864,1.47162,1.87044,1.17364,0.000391307,0.000391307,0.000391307
4,77.9895,1.41156,1.89848,1.14725,0.57526,0.23359,0.23648,0.13809,1.4281,1.62402,1.1502,0.00038812,0.00038812,0.00038812
5,93.0724,1.39496,1.79395,1.13456,0.58242,0.26367,0.24503,0.15141,1.36439,1.58917,1.13015,0.00038416,0.00038416,0.00038416
6,108.284,1.3773,1.70083,1.12298,0.49383,0.30149,0.26764,0.16131,1.41938,1.65758,1.15242,0.0003802,0.0003802,0.0003802
7,123.345,1.34526,1.62852,1.11724,0.62095,0.27363,0.28018,0.16734,1.3949,1.49825,1.13977,0.00037624,0.00037624,0.00037624
8,138.369,1.3425,1.60699,1.11884,0.62079,0.28892,0.29382,0.17532,1.42387,1.4545,1.13799,0.00037228,0.00037228,0.00037228
9,153.574,1.32725,1.55741,1.10717,0.55645,0.26229,0.30649,0.18747,1.37184,1.56507,1.13619,0.00036832,0.00036832,0.00036832
10,168.772,1.32873,1.51742,1.11143,0.59098,0.27398,0.29861,0.17646,1.4051,1.42187,1.12783,0.00036436,0.00036436,0.00036436
11,183.732,1.30622,1.45836,1.09669,0.63755,0.25189,0.27952,0.16365,1.43946,1.53002,1.18176,0.0003604,0.0003604,0.0003604
12,198.734,1.30377,1.45229,1.09521,0.63781,0.25721,0.28525,0.1707,1.3258,1.46844,1.10326,0.00035644,0.00035644,0.00035644
13,213.705,1.28331,1.39372,1.08667,0.57766,0.28854,0.29979,0.17908,1.30924,1.35996,1.09142,0.00035248,0.00035248,0.00035248
14,228.793,1.28162,1.37017,1.08467,0.70782,0.26795,0.3205,0.19403,1.38388,1.39073,1.12102,0.00034852,0.00034852,0.00034852
15,243.75,1.27953,1.36449,1.08457,0.63844,0.29288,0.32313,0.19222,1.39145,1.35809,1.13333,0.00034456,0.00034456,0.00034456
16,260.704,1.25692,1.32682,1.07719,0.60433,0.35633,0.33199,0.19654,1.39005,1.38705,1.11781,0.0003406,0.0003406,0.0003406
17,276.004,1.26684,1.30999,1.07575,0.58643,0.32216,0.31883,0.18945,1.36224,1.33416,1.11712,0.00033664,0.00033664,0.00033664
